Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Molar Volume at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Cu2O, Rb2O, Ag2O, Cs2O, Tl2O, MnO, FeO, CoO, NiO, CuO, ZnO, SrO, CdO, PbO, SnO, Molar Volume at RT ( cm3/mol )
1170, GJ20-240127, Ceramics - Silikaty, 1991, v. 035  p. 0113, , , , , , , , , , 37.5, , , , , , , , , , , , , , , 2.29087E-6
1171, GJ20-240128, Ceramics - Silikaty, 1991, v. 035  p. 0113, , , , , , , , , , 35.03, , , , , , , , , , , , , , , 2.29087E-6
1172, GJ20-240129, Ceramics - Silikaty, 1991, v. 035  p. 0113, , , , , , , , , , 35.0, , , , , , , , , , , , , , , 39.24
1173, GJ20-240130, Ceramics - Silikaty, 1991, v. 035  p. 0113, , , , , , , , , , 32.5, , , , , , , , , , , , , , , 40.8
1174, GJ20-240131, Ceramics - Silikaty, 1991, v. 035  p. 0113, , , , , , , , , , 30.0, , , , , , , , , , , , , , , 42.4
1175, GJ20-240132, Ceramics - Silikaty, 1991, v. 035  p. 0113, , , , , , , , , , 32.46, , , , , , , , , , , , , , , 39.6
1176, GJ20-240133, Ceramics - Silikaty, 1991, v. 035  p. 0113, , , , , , , , , , 30.0, , , , , , , , , , , , , , , 41.66
1177, GJ20-240134, Ceramics - Silikaty, 1991, v. 035  p. 0113, , , , , , , , , , 27.48, , , , , , , , , , , , , , , 43.0
1178, GJ40-240198, J. Physics & Chemistry of  Solids, 1989, v. 050  p. 1137, , , , , , , , , , , , , , , , , , , , , , , , , 53.8
1179, GJ40-240199, J. Physics & Chemistry of  Solids, 1989, v. 050  p. 1137, , , , , , , , , , , , , , , , , , , , , , , , , 52.2
1180, GJ40-240200, J. Physics & Chemistry of  Solids, 1989, v. 050  p. 1137, , , , , , , , , , , , , , , , , , , , , , , , , 50.5
1181, GJ40-240201, J. Physics & Chemistry of  Solids, 1989, v. 050  p. 1137, , , , , , , , , , , , , , , , , , , , , , , , , 49.1
1182, GJ40-240202, J. Physics & Chemistry of  Solids, 1989, v. 050  p. 1137, , , , , , , , , , , , , , , , , , , , , , , , , 47.4
1183, GJ40-240203, J. Physics & Chemistry of  Solids, 1989, v. 050  p. 1137, , , , , , , , , , , , , , , , , , , , , , , , , 45.9
1184, GJ40-240204, J. Physics & Chemistry of  Solids, 1989, v. 050  p. 1137, , , , , , , , , , , , , , , , , , , , , , , , , 44.3
1185, GJ20-240210, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 10.0, , , , , , , , , , , , , , , , , 42.51
1186, GJ20-240211, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 20.0, , , , , , , , , , , , , , , , , 39.18
1187, GJ20-240212, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 30.0, , , , , , , , , , , , , , , , , 35.4
1188, GJ20-240213, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 40.0, , , , , , , , , , , , , , , , , 32.35
1189, GJ20-240214, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 40.0, , , , , , , , , , , , , , , , , 34.16
1190, GJ20-240215, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 40.0, , , , , , , , , , , , , , , , , 36.24
1191, GJ20-240216, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 40.0, , , , , , , , , , , , , , , , , 38.45
1192, GJ20-240217, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , , , , , , , , , , , , , , , , , , 39.54
1193, GJ20-240218, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , , , , , , , , , , , , , , , , , , 41.78
1194, GJ20-240219, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , , , , , , , , , , , , , , , , , , 44.18
1195, GJ20-240220, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 10.0, , , , , , , , , , , , , , , , , 41.7
1196, GJ20-240221, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 20.0, , , , , , , , , , , , , , , , , 38.66
1197, GJ20-240222, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 30.0, , , , , , , , , , , , , , , , , 35.64
1198, GJ20-240223, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 40.0, , , , , , , , , , , , , , , , , 32.89
1199, GJ20-240224, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 40.0, , , , , , , , , , , , , , , , , 35.07
1200, GJ20-240225, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 40.0, , , , , , , , , , , , , , , , , 37.11
1201, GJ20-240226, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , 40.0, , , , , , , , , , , , , , , , , 39.98
1202, GJ20-240227, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , , , , , , , , , , , , , , , , , , 37.85
1203, GJ20-240228, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , , , , , , , , , , , , , , , , , , 39.78
1204, GJ20-240229, J. Physics & Chemistry of  Solids, 1996, v. 057  p. 0553, , , , , , , , , , , , , , , , , , , , , , , , , 42.04
1205, GJ20-241009, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 54.1
1206, GJ20-241010, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 53.1
1207, GJ20-241011, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 51.8
1208, GJ20-241012, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 51.2
1209, GJ20-241013, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 50.2
1210, GJ20-241014, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 49.5
1211, GJ20-241015, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 48.6
1212, GJ20-241016, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 48.2
1213, GJ20-241017, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 48.1
1214, GJ20-241018, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 48.1
1215, GJ20-241019, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 47.9
1216, GJ20-241020, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 47.8
1217, GJ20-241021, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 47.6
1218, GJ20-241022, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 47.5
1219, GJ20-241023, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 47.5
1220, GJ20-241024, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 46.8
1221, GJ20-241025, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 46.6
1222, GJ20-241026, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 46.3
1223, GJ20-241027, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 46.3
1224, GJ20-241028, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 46.2
1225, GJ20-241029, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 46.1
1226, GJ20-241030, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 45.4
1227, GJ20-241031, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 44.6
1228, GJ20-241032, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 44.5
1229, GJ20-241033, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 44.5
1230, GJ20-241034, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 44.3
1231, GJ20-241035, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 43.9
1232, GJ20-241036, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 43.6
1233, GJ20-241037, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 43.6
1234, GJ20-241038, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 43.6
1235, GJ20-241039, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 43.6
1236, GJ20-241040, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 42.8
1237, GJ20-241041, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 42.6
1238, GJ20-241042, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 42.5
1239, GJ20-241043, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 41.9
1240, GJ20-241044, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 41.1
1241, GJ20-241045, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 41.0
1242, GJ20-241046, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 40.7
1243, GJ20-241047, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 40.0
1244, GJ20-241048, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 39.8
1245, GJ20-241049, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 38.9
1246, GJ20-241050, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 38.9
1247, GJ20-241051, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 49.6
1248, GJ20-241052, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 48.2
1249, GJ20-241053, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 47.5
1250, GJ20-241054, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 47.5
1251, GJ20-241055, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 46.3
1252, GJ20-241056, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 45.7
1253, GJ20-241057, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 45.5
1254, GJ20-241058, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 43.7
1255, GJ20-241059, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 42.4
1256, GJ20-241060, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 42.5
1257, GJ20-241061, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 42.66
1258, GJ20-241062, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 47.5
1259, GJ20-241063, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 47.83
1260, GJ20-241064, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 43.68
1261, GJ20-241065, J. Materials Science, 1986, v. 021  p. 1187, , , , , , , , , , , , , , , , , , , , , , , , , 46.22
1262, GJ03-241192, Glass Science and Technology, 1980, v. 053  p. 0277, 65.0, , 10.0, , 25.0, , , , , , , , , , , , , , , , , , , , 13.0
1263, GJ03-241193, Glass Science and Technology, 1980, v. 053  p. 0277, 65.0, , 10.0, 3.1, 21.9, , , , , , , , , , , , , , , , , , , , 12.95
1264, GJ03-241194, Glass Science and Technology, 1980, v. 053  p. 0277, 65.0, , 10.0, 6.3, 18.7, , , , , , , , , , , , , , , , , , , , 12.9
1265, GJ03-241195, Glass Science and Technology, 1980, v. 053  p. 0277, 65.0, , 10.0, 12.5, 12.5, , , , , , , , , , , , , , , , , , , , 12.85
1266, GJ03-241196, Glass Science and Technology, 1980, v. 053  p. 0277, 65.0, , 10.0, 18.7, 6.3, , , , , , , , , , , , , , , , , , , , 12.8
1267, GJ03-241197, Glass Science and Technology, 1980, v. 053  p. 0277, 65.0, , 10.0, 21.9, 3.1, , , , , , , , , , , , , , , , , , , , 12.8
1268, GJ03-241198, Glass Science and Technology, 1980, v. 053  p. 0277, 65.0, , 10.0, 25.0, , , , , , , , , , , , , , , , , , , , , 12.75
1269, GJ03-241199, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 15.0, , 25.0, , , , , , , , , , , , , , , , , , , , 12.95
1270, GJ03-241200, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 15.0, 3.1, 21.9, , , , , , , , , , , , , , , , , , , , 12.9
1271, GJ03-241201, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 15.0, 6.3, 18.7, , , , , , , , , , , , , , , , , , , , 12.85
1272, GJ03-241202, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 15.0, 12.5, 12.5, , , , , , , , , , , , , , , , , , , , 12.75
1273, GJ03-241203, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 15.0, 18.7, 6.3, , , , , , , , , , , , , , , , , , , , 12.65
1274, GJ03-241204, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 15.0, 21.9, 3.1, , , , , , , , , , , , , , , , , , , , 12.55
1275, GJ03-241205, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 15.0, 25.0, , , , , , , , , , , , , , , , , , , , , 12.5
1276, GJ03-241206, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 20.0, 3.1, 21.9, , , , , , , , , , , , , , , , , , , , 12.85
1277, GJ03-241207, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 20.0, 6.3, 18.7, , , , , , , , , , , , , , , , , , , , 12.8
1278, GJ03-241208, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 20.0, 12.5, 12.5, , , , , , , , , , , , , , , , , , , , 12.65
1279, GJ03-241209, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 20.0, 18.7, 6.3, , , , , , , , , , , , , , , , , , , , 12.5
1280, GJ03-241210, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 20.0, 21.9, 3.1, , , , , , , , , , , , , , , , , , , , 12.45
1281, GJ03-241211, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 20.0, 25.0, , , , , , , , , , , , , , , , , , , , , 12.4
1282, GJ03-241212, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 10.0, , 30.0, , , , , , , , , , , , , , , , , , , , 12.95
1283, GJ03-241213, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 10.0, 3.8, 26.2, , , , , , , , , , , , , , , , , , , , 12.9
1284, GJ03-241214, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 10.0, 7.5, 22.5, , , , , , , , , , , , , , , , , , , , 12.85
1285, GJ03-241215, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 10.0, 15.0, 15.0, , , , , , , , , , , , , , , , , , , , 12.75
1286, GJ03-241216, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 10.0, 22.5, 7.5, , , , , , , , , , , , , , , , , , , , 12.65
1287, GJ03-241217, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 10.0, 26.2, 3.8, , , , , , , , , , , , , , , , , , , , 12.6
1288, GJ03-241218, Glass Science and Technology, 1980, v. 053  p. 0277, 60.0, , 10.0, 30.0, , , , , , , , , , , , , , , , , , , , , 12.55
1289, GJ03-241219, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 15.0, , 30.0, , , , , , , , , , , , , , , , , , , , 12.9
1290, GJ03-241220, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 15.0, , 30.0, , , , , , , , , , , , , , , , , , , , 12.9
1291, GJ03-241221, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 15.0, 7.5, 22.5, , , , , , , , , , , , , , , , , , , , 12.8
1292, GJ03-241222, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 15.0, 15.0, 15.0, , , , , , , , , , , , , , , , , , , , 12.6
1293, GJ03-241223, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 15.0, 22.5, 7.5, , , , , , , , , , , , , , , , , , , , 12.5
1294, GJ03-241224, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 15.0, 26.2, 3.8, , , , , , , , , , , , , , , , , , , , 12.45
1295, GJ03-241225, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 15.0, 30.0, , , , , , , , , , , , , , , , , , , , , 12.4
1296, GJ03-241226, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 20.0, 15.0, 15.0, , , , , , , , , , , , , , , , , , , , 12.55
1297, GJ03-241227, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 20.0, 22.5, 7.5, , , , , , , , , , , , , , , , , , , , 12.35
1298, GJ03-241228, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 20.0, 26.2, 3.8, , , , , , , , , , , , , , , , , , , , 12.3
1299, GJ03-241229, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 20.0, 30.0, , , , , , , , , , , , , , , , , , , , , 12.2
1300, GJ03-241230, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 10.0, , 35.0, , , , , , , , , , , , , , , , , , , , 12.95
1301, GJ03-241231, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 10.0, 4.4, 30.6, , , , , , , , , , , , , , , , , , , , 12.9
1302, GJ03-241232, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 10.0, 8.8, 26.2, , , , , , , , , , , , , , , , , , , , 12.8
1303, GJ03-241233, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 10.0, 17.5, 17.5, , , , , , , , , , , , , , , , , , , , 12.65
1304, GJ03-241234, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 10.0, 26.2, 8.8, , , , , , , , , , , , , , , , , , , , 12.5
1305, GJ03-241235, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 10.0, 30.6, 4.4, , , , , , , , , , , , , , , , , , , , 12.4
1306, GJ03-241236, Glass Science and Technology, 1980, v. 053  p. 0277, 55.0, , 10.0, 35.0, , , , , , , , , , , , , , , , , , , , , 12.3
1307, GJ03-241237, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 15.0, , 35.0, , , , , , , , , , , , , , , , , , , , 12.9
1308, GJ03-241238, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 15.0, 4.4, 30.6, , , , , , , , , , , , , , , , , , , , 12.85
1309, GJ03-241239, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 15.0, 8.8, 26.2, , , , , , , , , , , , , , , , , , , , 12.8
1310, GJ03-241240, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 15.0, 17.5, 17.5, , , , , , , , , , , , , , , , , , , , 12.6
1311, GJ03-241241, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 15.0, 26.2, 8.8, , , , , , , , , , , , , , , , , , , , 12.45
1312, GJ03-241242, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 15.0, 30.6, 4.4, , , , , , , , , , , , , , , , , , , , 12.35
1313, GJ03-241243, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 15.0, 35.0, , , , , , , , , , , , , , , , , , , , , 12.25
1314, GJ03-241244, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 10.0, , 40.0, , , , , , , , , , , , , , , , , , , , 13.05
1315, GJ03-241245, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 10.0, 5.0, 35.0, , , , , , , , , , , , , , , , , , , , 12.9
1316, GJ03-241246, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 10.0, 10.0, 30.0, , , , , , , , , , , , , , , , , , , , 12.8
1317, GJ03-241247, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 10.0, 20.0, 20.0, , , , , , , , , , , , , , , , , , , , 12.6
1318, GJ03-241248, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 10.0, 30.0, 10.0, , , , , , , , , , , , , , , , , , , , 12.35
1319, GJ03-241249, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 10.0, 35.0, 5.0, , , , , , , , , , , , , , , , , , , , 12.25
1320, GJ03-241250, Glass Science and Technology, 1980, v. 053  p. 0277, 50.0, , 10.0, 40.0, , , , , , , , , , , , , , , , , , , , , 12.15
1321, GJ03-241251, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 15.0, , 40.0, , , , , , , , , , , , , , , , , , , , 13.0
1322, GJ03-241252, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 15.0, 5.0, 35.0, , , , , , , , , , , , , , , , , , , , 12.9
1323, GJ03-241253, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 15.0, 10.0, 30.0, , , , , , , , , , , , , , , , , , , , 12.75
1324, GJ03-241254, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 15.0, 20.0, 20.0, , , , , , , , , , , , , , , , , , , , 12.55
1325, GJ03-241255, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 15.0, 30.0, 10.0, , , , , , , , , , , , , , , , , , , , 12.3
1326, GJ03-241256, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 15.0, 35.0, 5.0, , , , , , , , , , , , , , , , , , , , 12.2
1327, GJ03-241257, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 10.0, , 45.0, , , , , , , , , , , , , , , , , , , , 13.0
1328, GJ03-241258, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 10.0, 4.4, 40.6, , , , , , , , , , , , , , , , , , , , 12.9
1329, GJ03-241259, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 10.0, 11.3, 33.7, , , , , , , , , , , , , , , , , , , , 12.8
1330, GJ03-241260, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 10.0, 22.5, 22.5, , , , , , , , , , , , , , , , , , , , 12.55
1331, GJ03-241261, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 10.0, 33.7, 11.3, , , , , , , , , , , , , , , , , , , , 12.35
1332, GJ03-241262, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 10.0, 40.6, 4.4, , , , , , , , , , , , , , , , , , , , 12.2
1333, GJ03-241263, Glass Science and Technology, 1980, v. 053  p. 0277, 45.0, , 10.0, 45.0, , , , , , , , , , , , , , , , , , , , , 12.1
1334, GJ10-241650, J. Mater. Sci.: Materials in Electronics, 1991, v. 002  p. 0220, , 58.0, 18.0, , 22.0, , , , , , , , , , , , , , , , , , , , 27.08
1335, GJ10-241651, J. Mater. Sci.: Materials in Electronics, 1991, v. 002  p. 0220, , 58.0, 16.0, , 22.0, , , , , , , , , , , , , , , , , , , , 27.46
1336, GJ10-241652, J. Mater. Sci.: Materials in Electronics, 1991, v. 002  p. 0220, , 58.0, 14.0, , 22.0, , , , , , , , , , , , , , , , , , , , 27.83
1337, GJ10-241653, J. Mater. Sci.: Materials in Electronics, 1991, v. 002  p. 0220, , 58.0, 12.0, , 22.0, , , , , , , , , , , , , , , , , , , , 28.54
1338, GJ10-241654, J. Mater. Sci.: Materials in Electronics, 1991, v. 002  p. 0220, , 58.0, 10.0, , 22.0, , , , , , , , , , , , , , , , , , , , 27.75
1339, GJ10-241655, J. Mater. Sci.: Materials in Electronics, 1991, v. 002  p. 0220, , 58.0, 8.0, , 22.0, , , , , , , , , , , , , , , , , , , , 27.95
1340, GJ10-241656, J. Mater. Sci.: Materials in Electronics, 1991, v. 002  p. 0220, , 58.0, 6.0, , 22.0, , , , , , , , , , , , , , , , , , , , 28.15
1341, GJ10-241657, J. Mater. Sci.: Materials in Electronics, 1991, v. 002  p. 0220, , 58.0, 4.0, , 22.0, , , , , , , , , , , , , , , , , , , , 28.45
1342, GJ10-241658, J. Mater. Sci.: Materials in Electronics, 1991, v. 002  p. 0220, , 58.0, 2.0, , 22.0, , , , , , , , , , , , , , , , , , , , 27.5
1343, GJ10-241659, J. Mater. Sci.: Materials in Electronics, 1991, v. 002  p. 0220, , 58.0, , , 22.0, , , , , , , , , , , , , , , , , , , , 27.17
1344, GJ28-241723, J. Mater. Sci.: Materials in Electronics, 1995, v. 006  p. 0001, , , , , , , , , , , , , , , , , , , , , , , , , 30.22
1345, GJ28-241724, J. Mater. Sci.: Materials in Electronics, 1995, v. 006  p. 0001, , , , , , , , , , , , , , , , , , , , , , , , , 30.09
1346, GJ28-241725, J. Mater. Sci.: Materials in Electronics, 1995, v. 006  p. 0001, , , , , , , , , , , , , , , , , , , , , , , , , 29.25
1347, GJ28-241726, J. Mater. Sci.: Materials in Electronics, 1995, v. 006  p. 0001, , , , , , , , , , , , , , , , , , , , , , , , , 34.45
1348, GJ28-241727, J. Mater. Sci.: Materials in Electronics, 1995, v. 006  p. 0001, , , , , , , , , , , , , , , , , , , , , , , , , 35.11
1349, GJ28-241728, J. Mater. Sci.: Materials in Electronics, 1995, v. 006  p. 0001, , , , , , , , , , , , , , , , , , , , , , , , , 31.9
1350, GJ28-241729, J. Mater. Sci.: Materials in Electronics, 1995, v. 006  p. 0001, , , , , , , , , , , , , , , , , , , , , , , , , 32.4
1351, GJ28-241730, J. Mater. Sci.: Materials in Electronics, 1995, v. 006  p. 0001, , , , , , , , , , , , , , , , , , , , , , , , , 32.6
1352, GI28-243711, Proc. ICG, 2001, v. 002  p. 0894, , , , , , , , , , , , , , , , , , , , , , , , , 31.04
1353, GI28-243712, Proc. ICG, 2001, v. 002  p. 0894, , , , , , , , , , , , , , , , , , , , , , , , , 38.66
1354, GJ20-244751, J. Solid State Chemistry, 2005, v. 178  p. 1837, , 10.0, , , , , , , , , , , , , , , , , , 50.0, , , , , 33.26
